ctry,year,gdpgrowth,gdpdelta,gdp%change,lforce,lforcedelta,lforce%change,unemp,unempdelta,unemp%change
Canada,1996,0.522403482,-1.3084814489999999,-0.7146715923241165,64.24199677,,,9.600000381000001,,
Canada,1997,3.183363787,2.6609603049999997,5.093687918795304,64.44000244,0.19800567000000058,0.0030821842401458355,9.100000381000001,-0.5,-0.05208333126627607
Canada,1998,2.986425101,-0.19693868599999975,-0.061864963974348264,64.69999695,0.2599945099999985,0.0040346756696987285,8.300000191,-0.8000001900000004,-0.08791210511049319
Canada,1999,4.296712274,1.3102871729999999,0.4387477096148342,65.09400177,0.39400482000000636,0.006089719297892593,7.599999905,-0.7000002860000007,-0.0843373819146459
Canada,2000,4.258017061,-0.03869521299999956,-0.009005772444701465,65.28900146,0.19499968999998885,0.002995662959683898,6.8000001910000005,-0.7999997139999993,-0.1052631215789468
Canada,2001,0.748589119,-3.5094279420000003,-0.8241930203012872,65.39800262,0.10900116000000537,0.0016695179519139458,7.1999998089999995,0.39999961799999895,0.05882347158304646
Canada,2002,2.090014217,1.3414250979999998,1.7919377452238918,66.35199738,0.9539947600000005,0.014587521358156108,7.6999998089999995,0.5,0.06944444628665125
Canada,2003,0.7931208359999999,-1.2968933809999998,-0.6205189277906238,67.06400299,0.7120056100000056,0.010730733634472633,7.599999905,-0.0999999039999997,-0.012987000841625518
Canada,2004,2.05816244,1.2650416039999999,1.5950174886087596,67.00700378,-0.056999210000000744,-0.0008499225733438198,7.1999998089999995,-0.4000000960000003,-0.05263159223684233
Canada,2005,2.188914999,0.13075255900000027,0.06352878492914305,66.63800049,-0.3690032900000091,-0.005506936128819251,6.8000001910000005,-0.39999961799999895,-0.055555503973763964
Canada,2006,1.808912962,-0.3800020370000001,-0.17360292070436867,66.58799744,-0.050003050000000826,-0.000750368402898105,6.3000001910000005,-0.5,-0.07352940969939448
Canada,2007,1.077673059,-0.7312399029999999,-0.4042427238685461,67.07099915,0.4830017100000106,0.007253585159025411,6.0,-0.3000001910000005,-0.0476190764928186
Canada,2008,-0.08676893599999999,-1.164441995,-1.0805150831927774,67.31400299,0.24300384000000008,0.003623083643894187,6.099999905,0.09999990499999978,0.016666650833333296
